epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8443,1.53113,3.67175,1.57753,0.0079,0.95811,0.39868,0.21167,1.05122,3.14189,1.20186,0.00023338,0.00023338,0.00023338
2,112.853,1.12421,2.39388,1.20982,0.0074,1,0.6169,0.38865,1.00111,2.63763,1.18389,0.000473858,0.000473858,0.000473858
3,159.481,1.07211,2.00713,1.19703,0.98498,0.34341,0.59468,0.37782,1.0943,2.44937,1.31042,0.000704434,0.000704434,0.000704434
4,207.749,1.09878,1.84638,1.18218,0.4896,0.5053,0.49938,0.29832,1.19119,2.25224,1.44927,0.000925108,0.000925108,0.000925108
5,255.087,1.08943,1.71023,1.20319,1,0.19862,0.4865,0.33001,1.20492,2.73849,1.42371,0.00113588,0.00113588,0.00113588
6,300.855,1.08118,1.5582,1.17957,0.8469,0.4772,0.58729,0.39006,1.17673,2.41202,1.36134,0.00133675,0.00133675,0.00133675
7,344.361,1.07682,1.47734,1.17836,0.61164,0.63615,0.6198,0.39257,1.27034,1.51077,1.45121,0.00146896,0.00146896,0.00146896
8,389.391,1.08644,1.4457,1.19208,0.47765,0.89428,0.64195,0.43128,1.17089,4.66892,1.32008,0.00143595,0.00143595,0.00143595
9,434.854,1.02675,1.33238,1.12408,0.54102,0.60361,0.52741,0.31451,1.34745,2.0624,1.53799,0.00140295,0.00140295,0.00140295
10,480.337,1.03246,1.27652,1.1714,0.91796,0.52527,0.60626,0.36131,1.25483,1.54895,1.49722,0.00136994,0.00136994,0.00136994
11,528.215,1.01318,1.13615,1.13199,0.48143,0.69747,0.47922,0.27961,1.21458,1.59944,1.35226,0.00133693,0.00133693,0.00133693
12,572.953,0.95378,1.08808,1.1051,0.57299,0.70811,0.57932,0.4437,0.9291,1.3749,1.14136,0.00130393,0.00130393,0.00130393
13,618.21,0.95184,1.04919,1.11442,0.95318,0.64561,0.69472,0.50245,1.04157,1.13936,1.19155,0.00127092,0.00127092,0.00127092
